name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Lu Dort,Oklahoma City Thunder,SG,0,1,21,2020,1346733,36,22.8,6.8,2.4,6.1,39.4,0.8,2.8,29.7,1.2,1.5,79.2,0.7,1.6,2.3,0.8,0.6,0.9,0.1,2.7,50.6,13.9,-2.7,3.3,0.6,0.9,0.7,1.6,-2.1,2.9,0.8,1.5
Kenrich Williams,Oklahoma City Thunder,SF,0,1,27,2022,6792500,49,21.9,7.4,3,6.5,46.1,0.8,2.5,33.9,0.6,1.1,54.5,1.5,3,4.5,2.2,0.9,0.9,0.2,1.7,53.2,15.3,-1.1,2.4,1.3,-1.7,8.1,6.4,-1.2,3.8,2.6,2.9
Isaiah Joe,Oklahoma City Thunder,SG,1,0,23,2022,1999440,55,11.1,3.6,1.1,3.2,35,0.8,2.5,33.3,0.5,0.6,93.5,0.1,0.9,1,0.6,0.3,0.3,0.1,0.9,51.9,14.4,-1.3,0.3,-0.9,-0.6,2.2,1.6,-1.2,0.7,-0.5,0.7
Gary Harris,Orlando Magic,SG,0,1,24,2018,21000000,67,34.4,17.5,6.6,13.6,48.5,2.3,5.9,39.6,2,2.4,82.7,0.6,2.1,2.6,2.9,1.8,1.8,0.2,1.8,59.7,20.4,1.5,0.6,2.1,0.9,0.6,1.6,1.4,0.6,2.1,5.7
Jonathan Isaac,Orlando Magic,PF,0,1,24,2020,17400000,34,28.8,11.9,4.6,9.8,47,0.9,2.8,34,1.8,2.3,77.9,1.7,5.1,6.8,1.4,1.4,1.6,2.3,2.4,55.2,18.1,-0.6,4.8,4.2,-1.6,3.1,1.5,-0.8,4.8,3.9,3.3
Markelle Fultz,Orlando Magic,PG,0,1,23,2020,16666667,72,27.7,12.1,5,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73,0.6,2.7,3.3,5.1,2,1.3,0.2,2,51.7,21,-1.3,-1.1,-2.4,2.4,-2.4,0.1,-0.5,-1.5,-2,0.8
Terrance Ross,Orlando Magic,SG,1,0,28,2019,13500000,81,26.5,15.1,5.4,12.7,42.8,2.7,7,38.3,1.6,1.8,87.5,0.3,3.1,3.5,1.7,1.1,0.9,0.4,1.5,56.1,23,2.2,-0.9,1.3,-4.6,2.3,-2.2,0.9,-0.3,0.6,3.7
Wendell Carter Jr. ,Orlando Magic,C,0,1,22,2021,12500000,54,25.5,11.2,4.3,8.5,50.3,0.3,0.9,29.4,2.4,3.3,73.2,2.4,5.8,8.2,1.9,1.4,0.6,0.8,2.7,56.6,18.8,-2.6,1.7,-0.9,3.8,-0.9,-4.7,-2.9,1.3,-1.7,0.8
Robin Lopez,Orlando Magic,C,1,0,33,2021,5000000,71,19.1,9,3.8,6,63.3,0.1,0.3,27.8,1.4,1.9,72.3,2,1.8,3.8,0.8,1.1,0.2,0.6,1.5,66.1,16.9,-1.2,0.2,-1,-1.6,1.4,-0.2,-1.3,0.5,-0.8,1.3
Mo Wagner,Orlando Magic,C,1,0,24,2021,1803969,45,16,6.9,2.3,5.1,45.4,0.7,2,34.1,1.6,1.9,81.6,0.6,2.6,3.2,1.1,1,0.6,0.4,2.4,58,17.8,-2.8,2.2,-0.6,-3.6,-0.4,-4,-3.1,1.8,-1.3,0.5
Mo Bamba,Orlando Magic,C,1,0,24,2022,10300000,71,25.7,10.6,4.2,8.7,48,1.5,4,38.1,0.8,1,78.1,2.1,6,8.1,1.2,1.1,0.5,1.7,2.6,58.2,17,-1.8,0.9,-0.9,-3.2,-1,-4.2,-2.1,0.6,1.5,1.1
Bol Bol,Orlando Magic,C,1,0,22,2022,2200000,14,5.8,2.4,1.1,1.9,55.6,0.1,0.3,25,0.1,0.4,40,0.3,1.1,1.4,0.4,0.3,0.1,0.1,0.3,56.5,16,-5.1,-1.1,-6.1,-3.2,2.4,-0.8,5,-0.4,-5.4,-0.1
James Harden,Philadelphia 76ers,SG,0,1,30,2019,42782880,78,36.8,36.1,10.8,24.5,44.2,4.8,13.2,36.8,9.7,11,87.9,0.8,5.8,6.6,7.5,5,2,0.7,3.1,61.6,39.6,10.4,1.7,12.1,4.8,-1.6,3.2,9.8,1.1,10.9,20.1
Tobias Harris,Philadelphia 76ers,PF,1,0,27,2019,36000000,82,34.7,20,7.5,15.3,48.7,1.9,4.8,39.7,3.2,3.7,86.6,0.8,7,7.9,2.8,1.8,0.6,0.5,2.2,59.2,22.5,1,-0.6,0.5,-0.3,-0.6,-0.8,0.8,-0.6,0.2,4.3
Joel Embiid,Philadelphia 76ers,C,0,1,27,2021,52528000,51,31.1,28.5,9,17.6,51.3,1.1,3,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1,1.4,2.4,63.6,35.2,3.5,4.6,8.1,4.1,2.2,6.3,3.8,4.3,8.1,8.9
Danny Green,Philadelphia 76ers,SG,1,0,34,2021,10000000,69,28,9.5,3.2,7.9,41.2,2.5,6.3,40.5,0.4,0.6,77.5,0.8,3,3.8,1.7,1,1.3,0.8,1.8,58.2,13.8,0,3.1,3.1,2.1,-1.3,0.8,0.4,2.3,2.7,5.4
Furkan Korkmaz,Philadelphia 76ers,SF,1,0,24,2021,5000000,55,19.3,9.1,3.1,7.7,40.1,1.8,4.9,37.5,1.1,1.5,73.2,0.3,1.7,2.1,1.5,0.8,0.9,0.2,1.2,54.4,19.5,1.1,0.8,2,0.9,2.8,3.7,1.1,1.2,2.4,2.8
Georges Niang,Philadelphia 76ers,PF,1,0,28,2021,3382500,72,16,6.9,2.5,5.6,43.7,1.7,4.1,42.5,0.3,0.3,95.7,0.4,2.1,2.4,0.8,0.7,0.3,0.1,1.6,60.2,16.9,0.1,0,0.1,2.4,4.6,7.1,0.5,0.9,1.4,2.5
Paul Millsap,Philadelphia 76ers,PF,1,0,36,2021,2641691,56,20.8,9,3.4,7.2,47.6,0.9,2.6,34.3,1.3,1.8,72.4,1.4,3.3,4.7,1.8,0.9,0.9,0.6,2,56.5,18.4,0.2,2.2,2.4,0.7,-0.5,0.2,0.2,1.8,2,2.8
Danuel House Jr,Philadelphia 76ers,SF,1,0,29,2022,4207625,42,17.3,5.9,1.9,4.7,40.4,1,2.8,37.6,1,1.4,75.9,0.4,2.2,2.6,1,0.8,0.5,0.4,1.2,55.5,14.6,-2,0.3,-1.7,-1.2,2,0.8,-2,0.7,-1.3,0.7
Devin Booker,Phoenix Suns,SG,0,1,23,2018,31650600,54,34.5,24.9,8.4,19.5,43.2,2.7,7.1,38.3,5.4,6.1,87.8,0.5,4,4.5,4.7,3.6,0.9,0.3,3.1,56.1,30.1,2.6,-3.4,-0.8,0.7,-1.3,-0.6,2.5,-3.1,-0.6,2.1
Chris Paul,Phoenix Suns,PG,1,0,36,2021,30000000,70,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,0.4,4.1,4.5,8.9,2.2,1.4,0.3,2.4,59.9,22.1,5.2,-2.1,3.1,-0.2,3.3,3.1,4.3,-1.2,3.2,6.6
Jae Crowder,Phoenix Suns,PF,1,0,30,2020,9720900,65,28.8,10.5,3.5,8.7,40.1,2.1,6.1,34.3,1.5,1.9,77.6,0.8,5.1,5.9,2.5,1.1,1.1,0.4,2.2,55.3,15.2,0.3,-0.2,0.2,-0.8,-2.6,-3.4,0.1,-0.7,-0.6,2.1
Dario Saric,Phoenix Suns,C,1,0,26,2020,9000000,66,24.7,10.7,3.9,8.2,47.6,1.3,3.6,35.7,1.6,1.9,84.4,1.5,4.6,6.2,1.9,1.3,0.6,0.2,2.4,59.2,17.4,-0.3,0.2,-0.1,-0.3,-3.4,-3.6,-0.3,-0.5,-0.9,1.6
